Nom de la commune,Population municipale,proportion de vote pour le parti A, Latitude , Longitude 
Gainneville,2609,0.510,49.516667,0.25
Gancourt-Saint-Étienne,229,0.417,49.55,1.716667
Ganzeville,507,0.592,49.733333,0.416667
Gerponville,392,0.582,49.75,0.566667
Gerville,384,0.671,49.7,0.333333
Goderville,2840,0.501,49.65,0.366667
Gommerville,713,0.674,49.55,0.366667
Gonfreville-Caillot,343,0.634,49.65,0.433333
Gonfreville-l'Orcher,9084,0.556,49.5,0.233333
Gonnetot,193,0.420,49.766667,0.9
Gonneville-la-Mallet,1330,0.548,49.633333,0.216667
Gonneville-sur-Scie,455,0.517,49.75,1.083333
Gonzeville,101,0.628,49.766667,0.816667
Goupillières,418,0.523,49.583333,0.983333
Gournay-en-Bray,6392,0.440,49.483333,1.733333
Gouy,809,0.474,49.35,1.15
Graimbouville,621,0.406,49.583333,0.333333
Grainville-la-Teinturière,1073,0.438,49.75,0.65
Grainville-sur-Ry,439,0.444,49.483333,1.3
Grainville-Ymauville,442,0.418,49.666667,0.416667
Grand-Camp,649,0.631,49.558333,0.591667
Grand-Couronne,9840,0.358,49.35,1
Grandcourt,362,0.500,49.916667,1.5
Les Grandes-Ventes,1807,0.260,49.783333,1.233333
Le Grand-Quevilly,25273,0.425,49.416667,1.033333
Graval,162,0.407,49.733333,1.55
Grèges,799,0.435,49.916667,1.15
Grémonville,421,0.496,49.666667,0.833333
Greuville,375,0.371,49.816667,0.916667
Grigneuseville,351,0.516,49.65,1.183333
Gruchet-le-Valasse,3113,0.490,49.55,0.483333
Gruchet-Saint-Siméon,699,0.376,49.816667,0.9
Grugny,955,0.586,49.616667,1.116667
Grumesnil,462,0.377,49.616667,1.683333
Guerville,473,0.520,49.966667,1.516667
Gueures,552,0.506,49.833333,0.966667
Gueutteville,84,0.571,49.65,1
La Hallotière,219,0.658,49.516667,1.466667
Le Hanouard,253,0.596,49.733333,0.666667
Harcanville,511,0.554,49.716667,0.716667
Harfleur,8242,0.487,49.5,0.2
Hattenville,698,0.509,49.65,0.533333
Haucourt,240,0.415,49.633333,1.666667
Haudricourt,450,0.447,49.733333,1.7
Haussez,271,0.295,49.583333,1.666667
Hautot-l'Auvray,358,0.519,49.766667,0.75
Hautot-le-Vatois,322,0.561,49.65,0.683333
Hautot-Saint-Sulpice,648,0.484,49.683333,0.75
Hautot-sur-Mer,1959,0.389,49.9,1.033333
Hautot-sur-Seine,408,0.668,49.366667,0.983333
Le Havre-1,38059,0.401,49.5,0.133333
Le Havre-2,10919,0.721,49.5,0.133333
Le Havre-3,24228,0.606,49.5,0.133333
Le Havre-4,36483,0.619,49.5,0.133333
Le Havre-5,32978,0.535,49.5,0.133333
Le Havre-6,30140,0.411,49.5,0.133333
Héberville,108,0.444,49.766667,0.8
